product_name,brand_name,price,seller,seller_rating,seller_shipping,seller_chat,rating_number,qna_number,discount,bef_price
Haier H43K800FX 43 Inch FHD Android Smart TV,TV Hut And Electronics,"৳ 29,790",TV Hut And Electronics,93%,11%,Not enough data,7 Ratings,18 Answered Questions,-31%,"৳ 42,900"
JAMUNA 32'' Smart Android Wi-Fi Voice Control HD LED TV ( J32SB5 ),TOP TEN BD,"৳ 14,900",TOP TEN BD,87%,60%,58%,22 Ratings,136 Answered Questions,-46%,"৳ 27,500"
Sony Plus 43 inch Android Smart Wi-Fi HD LED TV 4K Supported RAM 2 GB ROM 16 GB Android Version 11.0 Built-In,TOP TEN BD,"৳ 21,450",TOP TEN BD,87%,60%,58%,77 Ratings,779 Answered Questions,-54%,"৳ 46,500"
32 Smart TV 4K Support FHD Frameless Android Smart LED TV,Heng Yuan International,"৳ 15,800",Heng Yuan International,89%,45%,Not enough data,3 Ratings,12 Answered Questions,-49%,"৳ 30,700"
MME 32 Inch TV 2GB Ram Voice Control/ Non-Voice Android Smart TV,Heng Yuan International,"৳ 15,900",Heng Yuan International,89%,45%,Not enough data,20 Ratings,205 Answered Questions,-41%,"৳ 26,990"
43 TV FHD Frameless Android Smart TV,MANGO Electronics,"৳ 22,900",MANGO Electronics,84%,37%,97%,3 Ratings,38 Answered Questions,-51%,"৳ 46,990"
Sony Plus 24 Inch 4K Supported ( Ram 1 gb Rom 8 gb ) Android Smart Television Wi-Fi Hd Led Tv 4k Supported,TOP TEN BD,"৳ 11,500",TOP TEN BD,87%,60%,58%,14 Ratings,24 Answered Questions,-30%,"৳ 16,500"
SONY PLUS 43 android version 11 Ram 2GB/16GB SMART HD TV,New Udoy Electronics,"৳ 21,450",New Udoy Electronics,85%,28%,Not enough data,35 Ratings,88 Answered Questions,-35%,"৳ 33,000"
"Mango 32"" Bezel-Less HD Google Certified TV - (MG32FG1)",MANGO Electronics,"৳ 19,900",MANGO Electronics,84%,37%,Not enough data,3 Ratings,42 Answered Questions,-33%,"৳ 29,900"
"prime TV 32"" TV FHD Frameless Voice Control Android Smart TV",Heng Yuan International,"৳ 16,090",Heng Yuan International,89%,45%,Not enough data,2 Ratings,4 Answered Questions,-51%,"৳ 32,900"
Sony Plus 50 Inch 4K UHD TV Android Smart Wi-Fi Voice Control 4k UHD Led Tv Ram 2 GB Rom 16 GB Android Version Built-In,Electro World Corporation,"৳ 33,990",Electro World Corporation,89%,83%,Not enough data,79 Ratings,239 Answered Questions,-48%,"৳ 65,500"
Sony Plus 32 Inch SMART ANDROID FULL HD LED TV,Rayns Computer,"৳ 15,990",Rayns Computer,84%,Not enough data,Not enough data,4 Ratings,40 Answered Questions,-35%,"৳ 24,500"
Haier H50P7UX 50 Inch 4K UHD Google TV,TV Hut And Electronics,"৳ 50,790",TV Hut And Electronics,93%,11%,Not enough data,8 Ratings,9 Answered Questions,-27%,"৳ 69,900"
Haier H32K800X 32 inch Bezel Less Google Television,TV Hut And Electronics,"৳ 21,990",TV Hut And Electronics,93%,11%,Not enough data,1 Ratings,3 Answered Questions,-26%,"৳ 29,900"
Kugou 32 inch TV Android Wi-Fi FHD LED Smart TV RAM 2 GB ROM 16 GB,MANGO Electronics,"৳ 15,900",MANGO Electronics,84%,37%,97%,30 Ratings,26 Answered Questions,-38%,"৳ 25,500"
"Haier 32"" Bezel Less Google Android TV (H32K800X)",Haier,"৳ 23,900",Haier,89%,82%,Not enough data,3 Ratings,5 Answered Questions,-20%,"৳ 29,900"
"Haier 43"" FHD Smart Google TV (H43K800FX) with Free Bongo Subscription",Haier,"৳ 34,900",Haier,89%,82%,Not enough data,33 Ratings,247 Answered Questions,-19%,"৳ 42,900"
Xiaomi Mi A Pro 32 Inch Smart Android HD Google TV (Global Version),TV Hut And Electronics,"৳ 23,990",TV Hut And Electronics,93%,11%,Not enough data,2 Ratings,4 Answered Questions,-20%,"৳ 29,990"
Haier (H43K800UX) 43 Inch Google Bezel Less 4K LED TV,TV Hut And Electronics,"৳ 36,490",TV Hut And Electronics,93%,11%,Not enough data,2 Ratings,5 Answered Questions,-27%,"৳ 49,990"
Sony Plus 43 Inch Android Smart Wi-Fi HD LED TV 4K Supported RAM 2 GB ROM 16 GB Android Version 11.0 Built-In,TOP TEN BD,"৳ 22,500",TOP TEN BD,87%,60%,58%,100 Ratings,226 Answered Questions,-50%,"৳ 45,000"
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
